Dia;Tratamento;Repeticao;Comprimento;Numero_neonatos;Numero_ovos;Numero_ovos_somados;;;
0;Controle;R1;0,4;0;0;0;;;
1;Controle;R1;0,46;0;0;0;;;
2;Controle;R1;0,54;0;0;0;;;
3;Controle;R1;0,67;0;3;3;;;
4;Controle;R1;0,69;0;0;3;;;
5;Controle;R1;0,75;3;9;12;;;
6;Controle;R1;0,81;0;0;12;;;
7;Controle;R1;0,81;9;8;20;;;
8;Controle;R1;0,82;8;5;25;;;
0;Controle;R2;0,37;0;0;0;;;
1;Controle;R2;0,45;0;0;0;;;
2;Controle;R2;0,52;0;0;0;;;
3;Controle;R2;0,61;0;2;2;;;
4;Controle;R2;0,63;0;0;2;;;
5;Controle;R2;0,69;2;8;10;;;
6;Controle;R2;0,72;0;0;10;;;
7;Controle;R2;0,76;8;7;17;;;
8;Controle;R2;0,76;7;0;17;;;
0;Controle;R3;0,37;0;0;0;;;
1;Controle;R3;0,45;0;0;0;;;
2;Controle;R3;0,52;0;0;0;;;
3;Controle;R3;0,63;0;2;2;;;
4;Controle;R3;0,63;0;0;2;;;
5;Controle;R3;0,75;2;8;10;;;
6;Controle;R3;0,76;0;0;10;;;
7;Controle;R3;0,81;8;8;18;;;
8;Controle;R3;Morta;0;0;18;;;
0;Controle;R4;0,37;0;0;0;;;
1;Controle;R4;0,42;0;0;0;;;
2;Controle;R4;0,43;0;0;0;;;
3;Controle;R4;0,48;0;0;0;;;
4;Controle;R4;0,55;0;2;2;;;
5;Controle;R4;0,58;0;0;2;;;
6;Controle;R4;0,67;2;6;8;;;
7;Controle;R4;0,67;0;0;8;;;
8;Controle;R4;0,67;6;5;13;;;
0;Controle;R5;0,34;0;0;0;;;
1;Controle;R5;0,43;0;0;0;;;
2;Controle;R5;0,51;0;0;0;;;
3;Controle;R5;0,61;0;2;2;;;
4;Controle;R5;0,63;0;0;2;;;
5;Controle;R5;0,7;2;9;11;;;
6;Controle;R5;0,7;0;0;11;;;
7;Controle;R5;0,75;9;0;11;;;
8;Controle;R5;0,75;8;7;18;;;
0;Controle;R6;0,36;0;0;0;;;
1;Controle;R6;0,45;0;0;0;;;
2;Controle;R6;0,52;0;0;0;;;
3;Controle;R6;0,61;0;3;3;;;
4;Controle;R6;0,63;0;0;3;;;
5;Controle;R6;0,73;3;6;9;;;
6;Controle;R6;0,73;0;0;9;;;
7;Controle;R6;0,75;6;9;18;;;
8;Controle;R6;0,75;9;0;18;;;
0;Controle;R7;0,37;0;0;0;;;
1;Controle;R7;0,45;0;0;0;;;
2;Controle;R7;0,55;0;0;0;;;
3;Controle;R7;0,64;0;2;2;;;
4;Controle;R7;0,66;0;0;2;;;
5;Controle;R7;0,7;2;7;9;;;
6;Controle;R7;0,75;0;0;9;;;
7;Controle;R7;0,78;7;0;9;;;
8;Controle;R7;0,78;7;0;9;;;
0;Controle;R8;0,36;0;0;0;;;
1;Controle;R8;0,42;0;0;0;;;
2;Controle;R8;0,52;0;0;0;;;
3;Controle;R8;0,6;0;0;0;;;
4;Controle;R8;0,6;0;0;0;;;
5;Controle;R8;0,73;0;8;8;;;
6;Controle;R8;0,73;8;0;8;;;
7;Controle;R8;0,78;0;8;16;;;
8;Controle;R8;0,78;8;0;16;;;
0;Controle;R9;0,36;0;0;0;;;
1;Controle;R9;0,45;0;0;0;;;
2;Controle;R9;0,54;0;0;0;;;
3;Controle;R9;0,64;0;3;3;;;
4;Controle;R9;0,66;0;0;3;;;
5;Controle;R9;0,7;3;7;10;;;
6;Controle;R9;0,75;0;0;10;;;
7;Controle;R9;0,76;7;8;18;;;
8;Controle;R9;0,76;8;0;18;;;
0;Controle;R10;0,37;0;0;0;;;
1;Controle;R10;0,46;0;0;0;;;
2;Controle;R10;0,55;0;0;0;;;
3;Controle;R10;0,61;0;3;3;;;
4;Controle;R10;0,63;0;0;3;;;
5;Controle;R10;0,75;3;7;10;;;
6;Controle;R10;0,75;0;0;10;;;
7;Controle;R10;0,75;7;8;18;;;
8;Controle;R10;0,75;8;0;18;;;
0;0,006;R1;0,39;0;0;0;;;
1;0,006;R1;0,49;0;0;0;;;
2;0,006;R1;0,51;0;0;0;;;
3;0,006;R1;0,57;0;2;2;;;
4;0,006;R1;0,67;2;5;7;;;
5;0,006;R1;0,7;0;0;7;;;
6;0,006;R1;0,7;5;5;12;;;
7;0,006;R1;0,75;0;0;12;;;
8;0,006;R1;0,75;5;7;19;;;
0;0,006;R2;0,34;0;0;0;;;
1;0,006;R2;0,43;0;0;0;;;
2;0,006;R2;0,51;0;0;0;;;
3;0,006;R2;0,64;0;3;3;;;
4;0,006;R2;0,64;0;0;3;;;
5;0,006;R2;0,69;2;7;10;;;
6;0,006;R2;0,72;0;0;10;;;
7;0,006;R2;0,75;6;7;17;;;
8;0,006;R2;0,75;7;1;18;;;
0;0,006;R3;0,34;0;0;0;;;
1;0,006;R3;0,4;0;0;0;;;
2;0,006;R3;0,48;0;0;0;;;
3;0,006;R3;0,51;0;0;0;;;
4;0,006;R3;0,6;0;2;2;;;
5;0,006;R3;0,75;2;6;8;;;
6;0,006;R3;0,75;0;0;8;;;
7;0,006;R3;0,76;5;8;16;;;
8;0,006;R3;0,76;8;0;16;;;
0;0,006;R4;0,34;0;0;0;;;
1;0,006;R4;0,42;0;0;0;;;
2;0,006;R4;0,46;0;0;0;;;
3;0,006;R4;0,52;0;1;1;;;
4;0,006;R4;0,52;0;0;1;;;
5;0,006;R4;0,61;1;5;6;;;
6;0,006;R4;0,63;0;0;6;;;
7;0,006;R4;0,66;5;0;6;;;
8;0,006;R4;0,66;0;0;6;;;
0;0,006;R5;0,31;0;0;0;;;
1;0,006;R5;0,4;0;0;0;;;
2;0,006;R5;0,46;0;0;0;;;
3;0,006;R5;0,55;0;2;2;;;
4;0,006;R5;0,58;0;0;2;;;
5;0,006;R5;0,67;2;5;7;;;
6;0,006;R5;0,67;0;0;7;;;
7;0,006;R5;0,67;5;0;7;;;
8;0,006;R5;0,69;0;0;7;;;
0;0,006;R6;0,33;0;0;0;;;
1;0,006;R6;0,37;0;0;0;;;
2;0,006;R6;0,48;0;0;0;;;
3;0,006;R6;0,52;0;1;1;;;
4;0,006;R6;0,55;0;0;1;;;
5;0,006;R6;0,61;0;4;5;;;
6;0,006;R6;0,61;0;0;5;;;
7;0,006;R6;0,69;4;0;5;;;
8;0,006;R6;0,69;0;0;5;;;
0;0,006;R7;0,33;0;0;0;;;
1;0,006;R7;0,4;0;0;0;;;
2;0,006;R7;0,48;0;0;0;;;
3;0,006;R7;0,49;0;0;0;;;
4;0,006;R7;0,58;0;2;2;;;
5;0,006;R7;0,58;0;0;2;;;
6;0,006;R7;0,69;2;5;7;;;
7;0,006;R7;0,69;5;0;7;;;
8;0,006;R7;0,75;0;6;13;;;
0;0,006;R8;0,36;0;0;0;;;
1;0,006;R8;0,42;0;0;0;;;
2;0,006;R8;0,51;0;0;0;;;
3;0,006;R8;0,58;0;3;3;;;
4;0,006;R8;0,6;0;0;3;;;
5;0,006;R8;0,69;2;8;11;;;
6;0,006;R8;0,69;0;0;11;;;
7;0,006;R8;0,72;6;8;19;;;
8;0,006;R8;0,73;8;0;19;;;
0;0,006;R9;0,34;0;0;0;;;
1;0,006;R9;0,43;0;0;0;;;
2;0,006;R9;0,52;0;0;0;;;
3;0,006;R9;0,6;0;3;3;;;
4;0,006;R9;0,6;0;0;3;;;
5;0,006;R9;0,67;3;7;10;;;
6;0,006;R9;0,67;0;0;10;;;
7;0,006;R9;0,67;6;7;17;;;
8;0,006;R9;0,75;7;0;17;;;
0;0,006;R10;0,34;0;0;0;;;
1;0,006;R10;0,42;0;0;0;;;
2;0,006;R10;0,51;0;0;0;;;
3;0,006;R10;0,6;0;3;3;;;
4;0,006;R10;0,6;0;0;3;;;
5;0,006;R10;0,6;3;8;11;;;
6;0,006;R10;0,7;0;0;11;;;
7;0,006;R10;0,75;7;7;18;;;
8;0,006;R10;0,75;7;0;18;;;
0;0,0125;R1;0,36;0;0;0;;;
1;0,0125;R1;0,45;0;0;0;;;
2;0,0125;R1;0,52;0;0;0;;;
3;0,0125;R1;0,6;0;3;3;;;
4;0,0125;R1;0,61;0;0;3;;;
5;0,0125;R1;0,69;3;6;9;;;
6;0,0125;R1;0,7;0;0;9;;;
7;0,0125;R1;0,75;6;6;15;;;
8;0,0125;R1;0,75;6;0;15;;;
0;0,0125;R2;0,34;0;0;0;;;
1;0,0125;R2;0,42;0;0;0;;;
2;0,0125;R2;0,49;0;0;0;;;
3;0,0125;R2;0,49;0;0;0;;;
4;0,0125;R2;0,6;0;3;3;;;
5;0,0125;R2;0,66;3;7;10;;;
6;0,0125;R2;0,69;0;0;10;;;
7;0,0125;R2;0,75;5;5;15;;;
8;0,0125;R2;0,75;5;0;15;;;
0;0,0125;R3;0,33;0;0;0;;;
1;0,0125;R3;0,43;0;0;0;;;
2;0,0125;R3;0,51;0;0;0;;;
3;0,0125;R3;0,6;0;2;2;;;
4;0,0125;R3;0,6;0;0;2;;;
5;0,0125;R3;0,67;2;6;8;;;
6;0,0125;R3;0,67;0;0;8;;;
7;0,0125;R3;Morta;0;0;8;;;
8;0,0125;R3;Morta;0;0;8;;;
0;0,0125;R4;0,36;0;0;0;;;
1;0,0125;R4;0,43;0;0;0;;;
2;0,0125;R4;0,51;0;0;0;;;
3;0,0125;R4;0,6;0;1;1;;;
4;0,0125;R4;0,6;0;0;1;;;
5;0,0125;R4;0,69;1;4;5;;;
6;0,0125;R4;0,72;0;0;5;;;
7;0,0125;R4;0,75;3;6;11;;;
8;0,0125;R4;0,75;6;0;11;;;
0;0,0125;R5;0,39;0;0;0;;;
1;0,0125;R5;0,46;0;0;0;;;
2;0,0125;R5;0,48;0;0;0;;;
3;0,0125;R5;0,36;0;1;1;;;
4;0,0125;R5;0,61;1;4;5;;;
