Tratamento;Dia;Repeticao;Num_ovos;Num_neonatos;Comprimento;Comprimento_original
Controle;0;R1;0;0;0,34;0,34
Controle;0;R2;0;0;0,36;0,36
Controle;0;R3;0;0;0,34;0,34
Controle;0;R4;0;0;0,34;0,34
Controle;0;R5;0;0;0,31;0,31
Controle;0;R6;0;0;0,33;0,33
Controle;0;R7;0;0;0,34;0,34
Controle;0;R8;0;0;0,33;0,33
Controle;0;R9;0;0;0,34;0,34
Controle;0;R10;0;0;0,34;0,34
Controle;1;R1;0;0;0,42;0,42
Controle;1;R2;0;0;0,43;0,43
Controle;1;R3;0;0;0,4;0,4
Controle;1;R4;0;0;0,45;0,45
Controle;1;R5;0;0;0,43;0,43
Controle;1;R6;0;0;0,42;0,42
Controle;1;R7;0;0;0,45;0,45
Controle;1;R8;0;0;0,42;0,42
Controle;1;R9;0;0;0,45;0,45
Controle;1;R10;0;0;0,44;0,44
Controle;2;R1;0;0;0,55;0,55
Controle;2;R2;0;0;0,52;0,52
Controle;2;R3;0;0;0,52;0,52
Controle;2;R4;0;0;0,54;0,54
Controle;2;R5;0;0;0,52;0,52
Controle;2;R6;0;0;0,52;0,52
Controle;2;R7;0;0;0,54;0,54
Controle;2;R8;0;0;0,55;0,55
Controle;2;R9;0;0;0,54;0,54
Controle;2;R10;0;0;0,52;0,52
Controle;3;R1;4;0;0,61;0,61
Controle;3;R2;3;0;0,6;0,6
Controle;3;R3;4;0;0,6;0,6
Controle;3;R4;4;0;0,61;0,61
Controle;3;R5;4;0;0,6;0,6
Controle;3;R6;3;0;0,57;0,57
Controle;3;R7;5;0;0,64;0,64
Controle;3;R8;4;0;0,64;0,64
Controle;3;R9;4;0;0,63;0,63
Controle;3;R10;4;0;0,63;0,63
Controle;4;R1;0;0;0,61;0,61
Controle;4;R2;0;0;0,6;0,6
Controle;4;R3;0;0;0,61;0,61
Controle;4;R4;0;0;0,64;0,64
Controle;4;R5;0;0;0,6;0,6
Controle;4;R6;5;3;0,63;0,63
Controle;4;R7;0;4;0,64;0,64
Controle;4;R8;0;4;0,63;0,63
Controle;4;R9;7;4;0,67;0,67
Controle;4;R10;0;0;0,63;0,63
Controle;5;R1;7;4;0,66;0,66
Controle;5;R2;8;3;0,64;0,64
Controle;5;R3;5;4;0,66;0,66
Controle;5;R4;8;4;0,69;0,69
Controle;5;R5;6;4;0,66;0,66
Controle;5;R6;0;0;0,67;0,67
Controle;5;R7;8;1;0,72;0,72
Controle;5;R8;7;0;0,7;0,7
Controle;5;R9;0;0;0,75;0,75
Controle;5;R10;5;4;0,67;0,67
Controle;6;R1;8;7;0,72;0,72
Controle;6;R2;9;8;0,69;0,69
Controle;6;R3;7;5;0,69;0,69
Controle;6;R4;9;8;0,72;0,72
Controle;6;R5;9;6;0,67;0,67
Controle;6;R6;8;5;0,67;0,67
Controle;6;R7;9;8;0,72;0,72
Controle;6;R8;9;7;0,72;0,72
Controle;6;R9;9;6;0,72;0,72
Controle;6;R10;8;5;0,72;0,72
Controle;7;R1;0;0;0,72;0,72
Controle;7;R2;0;0;0,7;0,7
Controle;7;R3;0;0;0,69;0,69
Controle;7;R4;0;0;0,73;0,73
Controle;7;R5;0;0;0,67;0,67
Controle;7;R6;0;0;0,69;0,69
Controle;7;R7;0;0;0,75;0,75
Controle;7;R8;0;0;0,73;0,73
Controle;7;R9;0;0;0,75;0,75
Controle;7;R10;0;0;0,73;0,73
Controle;8;R1;8;8;0,75;0,75
Controle;8;R2;7;9;0,72;0,72
Controle;8;R3;5;7;0,72;0,72
Controle;8;R4;4;9;0,73;0,73
Controle;8;R5;5;9;0,7;0,7
Controle;8;R6;4;8;0,69;0,69
Controle;8;R7;6;9;0,76;0,76
Controle;8;R8;6;9;0,73;0,73
Controle;8;R9;6;9;0,76;0,76
Controle;8;R10;0;8;0,75;0,75
0.006;0;R1;0;0;0,34;0,34
0.006;0;R2;0;0;0,33;0,33
0.006;0;R3;0;0;0,33;0,33
0.006;0;R4;0;0;0,33;0,33
0.006;0;R5;0;0;0,36;0,36
0.006;0;R6;0;0;0,33;0,33
0.006;0;R7;0;0;0,34;0,34
0.006;0;R8;0;0;0,34;0,34
0.006;0;R9;0;0;0,36;0,36
0.006;0;R10;0;0;0,36;0,36
0.006;1;R1;0;0;0,43;0,43
0.006;1;R2;0;0;0,42;0,42
